Espécie;Amostra;Local;Data;Clorofila;espessura.foliar;massa.turgida.foliar;area.foliar;massa.para.furar.g.;massa.seca.foliar;volume.ramo;peso.seco.ramo;comprimento.ramo;densidade.vasos;
Cyathea corcovadensis;3;PMFS;23/05/2016;58,26;0,132;0,43;24,3284;272,69;0,114;2,73;0,43;4,8;NA;0,157509158
Cyathea delgadii;4;Ipiranga;08/08/2016;NA;0,074;0,26;15,3836;15,26;0,144;4,54;0,98;4,6;NA;0,215859031
Cyathea delgadii;5;Ipiranga;08/08/2016;50,85;0,096;0,216;13,0142;15,26;0,068;4,07;0,75;4,8;NA;0,184275184
Cyathea delgadii;2;PMSF;23/05/2016;42,06;0,076;0,166;12,9252;114,27;0,048;7,14;1,2;5;NA;0,168067227
Cyathea delgadii;1;FURB;25/04/2016;48,52;0,009;0,126;10,305;NA;0,038;8,87;1,45;5,5;NA;0,163472379
Cyathea delgadii;3;PMSF;23/05/2016;18,64;0,066;0,122;11,2644;159,05;0,032;4,4;0,58;5,5;NA;0,131818182
Cyathea gardneri;4;Serra da Leoa;12/09/2016;82,8;0,102;0,36;16,089;38,54;0,11;4,28;0,79;5;NA;0,184579439
Cyathea gardneri;2;Serra da Leoa;12/09/2016;NA;0,126;0,278;11,9366;85,99;0,07;3,86;0,67;5,2;NA;0,17357513
Cyathea gardneri;5;Serra da Leoa;12/09/2016;NA;0,1;0,19;10,9986;47,25;0,052;2,76;0,47;4,9;NA;0,170289855
Cyathea gardneri;3;Serra da Leoa;12/09/2016;NA;0,09;0,262;12,48;36,8;0,076;3,32;0,51;4,6;NA;0,153614458
Cyathea gardneri;1;Serra da Leoa;12/09/2016;57,66;0,102;0,338;15,5264;140,81;0,076;14,55;1,84;5,5;NA;0,126460481
Cyathea phalerata;2;Morro do Baú;12/12/2016;NA;0,086;0,154;9,8692;33,86;0,056;1,84;0,62;4,4;NA;0,336956522
Cyathea phalerata;3;Morro do Baú;12/12/2016;NA;0,068;0,156;10,4994;27,87;0,036;1,95;0,34;4,5;NA;0,174358974
Cyathea phalerata;4;Morro do Baú;12/12/2016;NA;0,076;0,164;8,9174;50,89;0,048;2,88;0,49;5;NA;0,170138889
Cyathea phalerata;1;Ipiranga;08/08/2016;NA;0,172;0,3;15,4334;24,66;0,076;8,85;1,19;5,3;NA;0,134463277
Daphnopsis fasciculata;1;Ipiranga;08/08/2016;60,74;0,378;4,374;97,0292;1034,58;1,448;1,94;0,96;5;NA;0,494845361
Daphnopsis fasciculata;4;Tirolesa;21/02/2017;NA;0,318;2,91;87,5002;673,04;0,912;0,96;0,37;5,5;NA;0,385416667
Daphnopsis fasciculata;3;Serra da Leoa;12/09/2016;69,64;0,324;0,976;28,3994;857,21;0,31;1,77;0,68;5,3;26,93168187;0,384180791
Daphnopsis fasciculata;2;Ipiranga;08/08/2016;64,12;0,372;1,79;44,7852;912,86;0,606;4,05;1,54;5,3;3,503701408;0,380246914
Diatenopteryx sorbifolia;4;Santa Terezinha;11/05/2017;NA;0,07;0,058;4,356;88,71;0,03;1,92;1,29;5,1;NA;0,671875
Diatenopteryx sorbifolia;5;Santa Terezinha;11/05/2017;NA;0,082;0,102;7,59;80,66;0,042;1,46;0,97;5,1;NA;0,664383562
Diatenopteryx sorbifolia;3;Santa Terezinha;11/05/2017;NA;0,112;0,37;4,567;93,83;0,034;4,14;2,74;5,3;NA;0,661835749
Diatenopteryx sorbifolia;1;Rodeio;01/03/2017;NA;0,048;0,074;4,593;74,82;0,018;1,1;0,71;4,5;NA;0,645454545
Diatenopteryx sorbifolia;2;Santa Terezinha;11/05/2017;NA;0,088;0,054;4,24;231,81;0,034;1,08;0,067;5;NA;0,062037037
Dicksonia sellowiana;1;Faxinal do Bepe;06/09/2016;NA;0,112;0,022;1,3226;NA;0,008;2,34;0,64;5,1;NA;0,273504274
Dicksonia sellowiana;4;UA 803;02/03/2017;NA;0,068;0,079;5,5262;101,81;0,032;2,41;0,65;5,2;NA;0,269709544
Dicksonia sellowiana;2;Serra da Leoa;12/09/2016;NA;0,092;0,128;8,1504;38,35;0,054;1,77;0,37;4,4;NA;0,209039548
Dicksonia sellowiana;3;UA 803;02/03/2017;NA;0,074;0,046;3,7272;70,31;0,022;3,91;0,79;5,3;NA;0,202046036
Dicksonia sellowiana;5;UA 803;02/03/2017;NA;0,008;0,056;3,746;33,71;0,024;3,42;0,52;4,9;NA;0,152046784
Duguetia lanceolata;5;UA 803;14/03/2017;NA;0,13;0,332;96,272;280,82;NA;1,21;NA;5,2;NA;#VALOR!
Duguetia lanceolata;1;PMSF;24/08/2016;63,12;0,158;0,408;24,053;369,46;0,168;2,09;1,74;4,1;NA;0,832535885
Duguetia lanceolata;3;PMSF;21/09/2016;67,12;0,16;0,738;40,199;233,83;0,296;0,52;0,39;5,6;7,913523414;0,75
Duguetia lanceolata;4;Tirolesa;21/02/2017;NA;0,178;0,292;12,6118;348,09;0,132;1,07;0,77;5,2;NA;0,719626168
Duguetia lanceolata;2;PMSF;21/09/2016;66,02;0,14;0,362;22,354;238,38;0,158;1,85;1,28;6,2;4,619609102;0,691891892
Endlicheria paniculata;5;Serra da Leoa;12/09/2016;57,9;0,222;0,666;32,9608;236,74;0,268;1,26;0,67;4,7;NA;0,531746032
Endlicheria paniculata;4;Ipiranga;08/08/2016;62,8;0,176;0,514;25,9368;210,7;0,2;0,7;0,37;4,8;6,072130506;0,528571429
Endlicheria paniculata;2;Massaranduba;26/07/2016;68,3;0,19;1,24;61,228;142,39;0,49;2,47;1,24;5,4;14,06514218;0,502024291
Endlicheria paniculata;3;Massaranduba;26/07/2016;69,4;0,206;0,804;46,9126;373,77;0,316;3,23;1,15;5;3,210072997;0,356037152
Endlicheria paniculata;1;FURB;25/04/2016;61,42;0,212;1,312;71,2486;274,45;0,43;1,47;0,35;5;NA;0,238095238
Esenbeckia grandiflora;5;PMSF;21/09/2016;69,16;0,218;1,21;60,4648;268,23;0,486;1,25;0,89;NA;NA;0,712
Esenbeckia grandiflora;1;FURB;18/05/2016;69,26;0,39;2,33;63,066;441,72;0,632;0,46;0,32;4,9;NA;0,695652174
Esenbeckia grandiflora;2;PMSF;29/06/2016;62,28;0,224;1,484;71,669;210,07;0,468;1,05;0,63;5,4;NA;0,6
Esenbeckia grandiflora;4;PMSF;13/07/2016;60,68;0,22;0,874;36,9884;245,38;0,254;1,74;1;5,6;NA;0,574712644
Esenbeckia grandiflora;3;PMSF;13/07/2016;70,28;0,154;1;46,2218;393,83;0,298;1,02;0,56;5,5;NA;0,549019608
Eugenia beaurepairiana;1;Morro do Baú;12/12/2016;NA;0,132;0,296;15,9082;267,44;0,148;1,61;1,15;5,4;NA;0,714285714
Euterpe edulis;2;PMSF;29/06/2016;77,5;0,188;3,8;141,2898;279,35;1,742;13,99;4;5,7;NA;0,285918513
Euterpe edulis;4;PMSF;29/06/2016;62,7;0,62;1,094;80,3268;115,93;0,402;4,24;0,85;5,4;NA;0,200471698
Euterpe edulis;1;PMSF;29/06/2016;70,1;0,092;1,14;82,331;327,06;0,494;3,89;0,69;4,5;NA;0,177377892
Euterpe edulis;3;PMSF;29/06/2016;60,66;0,094;1,488;102,8894;226,93;0,632;7,83;1,3;5,6;NA;0,166028097
Euterpe edulis;5;PMSF;29/06/2016;59,94;0,09;0,92;73,7684;186,22;0,39;4,58;0,67;5,1;NA;0,14628821
Ficus adhatodifolia;2;FURB;27/04/2016;56,44;0,304;4,776;133,304;676,67;1,274;4,75;1,65;5,7;14,25036909;0,347368421
Ficus adhatodifolia;1;FURB;25/04/2016;59,04;0,39;6,42;194,847;334,01;1,876;5,82;1,82;5,6;NA;0,312714777
Ficus adhatodifolia;4;FURB;02/05/2016;NA;0,232;3,84;134,8142;457,06;1,102;4,42;1,32;5,2;NA;0,298642534
Ficus adhatodifolia;3;FURB;02/05/2016;NA;0,196;5,652;200,0094;484,01;1,728;2,94;0,77;4,5;NA;0,261904762
Ficus adhatodifolia;5;FURB;02/05/2016;NA;0,202;3,53;158,6664;259;0,988;2,68;0,56;5;NA;0,208955224
Gochnatia polymorpha;2;Rua Bahia, Blumenau;12/09/2016;56,58;0,336;1,25;42,986;240,12;0,496;1,52;0,86;5,9;6,003201466;0,565789474
Gochnatia polymorpha;3;Rua Bahia, Blumenau;12/09/2016;55,12;0,376;1,836;61,7106;297,78;0,82;1,39;0,68;5,6;22,20148505;0,489208633
Gochnatia polymorpha;1;Rua Bahia, Blumenau;12/09/2016;56,74;0,33;0,814;30,8318;300,61;0,414;2,98;1,41;6;12,27385954;0,473154362
Gochnatia polymorpha;5;Rua Bahia, Blumenau;12/09/2016;54,7;0,362;1,474;51,9562;303,57;0,605;2,12;0,86;5,5;31,79615656;0,405660377
Gochnatia polymorpha;4;Rua Bahia, Blumenau;12/09/2016;57,94;0,296;0,775;34,8776;197,29;0,338;1,35;0,53;5;NA;0,392592593
Guapira opposita;2;FURB;25/04/2016;51,84;0,294;0,624;24,0532;196,91;0,122;0,8;0,37;5,6;NA;0,4625
Guapira opposita;5;FURB;02/05/2016;NA;0,356;1,204;33,7982;398,58;0,244;1,26;0,55;4,7;NA;0,436507937
Guapira opposita;4;FURB;25/04/2016;64,14;0,334;1,158;38,5544;249,55;0,226;1,24;0,52;4,6;NA;0,419354839
Guapira opposita;3;FURB;25/04/2016;61,94;0,346;1,228;40,5424;284,2;0,224;1,46;0,61;5,3;NA;0,417808219
Guapira opposita;1;FURB;25/04/2016;56,18;0,3;0,798;27,9768;341,32;0,128;1,22;0,41;4,5;NA;0,336065574
Guatteria australis;4;PMSF;13/07/2016;57,58;0,128;0,286;15,8784;386,55;0,102;3,91;2,56;5,5;NA;0,654731458
Guatteria australis;5;PMSF;13/07/2016;71,06;0,142;0,36;20,0464;468,76;0,11;0,96;0,62;5,2;4,56507008;0,645833333
Guatteria australis;3;PMSF;13/07/2016;63,54;0,138;0,314;16,5248;412,8;0,11;3,04;1,83;5,5;4,168164817;0,601973684
Guatteria australis;1;Spitz;16/04/2016;74,62;0,152;0,186;9,2186;407,41;0,068;0,46;0,2;5;NA;0,434782609
Guatteria australis;2;PMSF;06/06/2016;62,44;0,116;0,326;21,499;204,09;0,112;1,92;0,66;5,4;NA;0,34375
Heisteria silvianii;2;FURB;02/05/2016;NA;0,172;1,598;87,0652;431,46;0,584;1,85;1,36;4,6;NA;0,735135135
Heisteria silvianii;3;PMSF;23/05/2016;74,18;0,26;1,466;54,6904;633,45;0,64;1,28;0,84;5,6;31,5816347;0,65625
Heisteria silvianii;5;Braço Paula Ramos;09/06/2016;65,62;0,296;1,102;37,2574;1164,75;0,482;0,83;0,5;5,9;NA;0,602409639
Heisteria silvianii;4;Braço Paula Ramos;09/06/2016;66,34;0,274;2,592;103,829;754,45;1,09;1,53;0,92;5,7;NA;0,60130719
Heisteria silvianii;1;Spitz;16/04/2016;78,82;0,348;1,726;52,4474;505,23;0,768;0,95;0,55;5,5;25,10437626;0,578947368
Hieronyma alchorneoides;3;Braço Paula Ramos;09/06/2016;54,02;0,264;6,132;263,9112;281,46;1,284;1,21;0,51;5,1;NA;0,421487603
Hieronyma alchorneoides;2;Braço Paula Ramos;09/06/2016;55,9;0,314;5,424;192,0992;297,14;1,886;1,83;0,65;5,3;NA;0,355191257
Hieronyma alchorneoides;1;Braço Paula Ramos;09/06/2016;58,94;0,242;4,254;161,987;250,27;1,672;2,19;0,59;5,3;NA;0,269406393
Hieronyma alchorneoides;5;Braço Paula Ramos;09/06/2016;43,3;0,246;5,564;222,7874;218,99;1,028;1,3;0,27;5,3;NA;0,207692308
Hieronyma alchorneoides;4;Braço Paula Ramos;09/06/2016;52,3;0,238;12,316;497,9582;202,67;2,658;4,17;0,7;5,5;NA;0,167865707
Hirtella hebeclada;5;PMSF;23/05/2016;59,28;0,104;1,308;62,1714;261,19;0,428;2,05;1,24;5,3;NA;0,604878049
Hirtella hebeclada;2;FURB;13/04/2016;60,18;0,27;2,538;142,7964;249,38;1,064;1,42;0,82;5,5;NA;0,577464789
Hirtella hebeclada;3;FURB;02/05/2016;60,84;0,349;1,466;67,2206;293,71;0,632;5,23;2,92;5,5;NA;0,5583174
Hirtella hebeclada;4;FURB;02/05/2016;54,62;0,138;2,042;110,8234;364,59;0,942;2,61;1,44;5,6;NA;0,551724138
Hirtella hebeclada;1;FURB;13/04/2016;62,2;0,24;2,084;134,0178;252,42;0,862;1,54;0,8;5,5;0,268127197;0,519480519
Hovenia dulcis;5;FURB;16/03/2017;NA;0,14;1,09;56,6034;91,66;0,342;5,63;2,99;5;NA;0,531083481
Hovenia dulcis;4;Rodeio;01/03/2017;NA;0,12;0,828;47,78;83,43;0,294;1,71;0,88;5,6;1,791074545;0,514619883
Hovenia dulcis;3;Tirolesa;21/02/2017;NA;0,118;0,694;37,3338;146;0,29;1,45;0,68;5;NA;0,468965517
Hovenia dulcis;1;Serra da Leoa;12/09/2016;35,16;0,09;0,352;30,161;103,9;0,082;3,25;1,33;5,2;1,873454285;0,409230769
Hovenia dulcis;2;Serra da Leoa;12/09/2016;38;0,09;0,34;32,7484;61,8;0,09;3,55;1,06;5,3;1,695854006;0,298591549
Ilex dumosa;2;Santa Terezinha;10/05/2017;67,6;0,26;0,286;11,253;338,43;0,136;1,64;0,85;5;NA;0,518292683
Ilex dumosa;3;Santa Terezinha;10/05/2017;55,58;0,166;0,128;5,478;298,57;0,054;1,37;0,57;4,9;NA;0,416058394
Ilex dumosa;1;Santa Terezinha;10/05/2017;74,2;0,206;0,118;4,723;309,16;0,05;1,96;0,59;5,2;NA;0,301020408
Ilex paraguariensis;4;Ipiranga;08/08/2016;70,4;0,352;0,354;9,5066;309,21;0,144;3,7;2,01;5,5;73,25427311;0,543243243
Ilex paraguariensis;5;Ipiranga;08/08/2016;73,92;0,268;0,52;15,9002;214,07;0,2;4,2;2,21;6,5;NA;0,526190476
Ilex paraguariensis;3;Ipiranga;08/08/2016;73,46;0,296;0,574;17,2284;274,09;0,22;1,86;0,97;5,1;11,01113086;0,521505376
Ilex paraguariensis;2;Ipiranga;08/08/2016;72,96;0,296;0,434;5,2566;421,48;0,164;3,13;1,63;4,7;23,22788438;0,520766773
Ilex paraguariensis;1;Ipiranga;08/08/2016;63,04;0,288;0,394;11,82;233,28;0,146;2,49;1,2;5,2;39,60738703;0,481927711
Ilex theezans;1;Spitz;16/04/2016;75,62;0,425;0,796;19,2922;700,5;0,348;1,3;0,73;4,8;NA;0,561538462
Ilex theezans;4;Morro do Baú;12/12/2016;NA;0,346;0,476;11,2338;471,29;0,16;1,05;0,56;5,4;8,080169044;0,533333333
Ilex theezans;3;Morro do Baú;12/12/2016;NA;0,28;0,37;9,9436;467,1;0,13;1,26;0,63;5;NA;0,5
Ilex theezans;6;Praia Vermelha;09/02/2017;NA;0,384;0,99;23,9648;492,07;0,422;2,07;1,01;5,3;NA;0,487922705
Ilex theezans;5;Morro do Baú;12/12/2016;NA;0,486;1,048;20,86;370,99;0,332;1,76;0,76;5;NA;0,431818182
Ilex theezans;2;Massaranduba;26/07/2016;54,4;0,292;2,11;67,6802;300,34;0,71;2,78;1,16;5,5;NA;0,417266187
Inga marginata;3;FURB;24/05/2017;NA;0,118;0,238;16,362;188,2;0,088;1,38;0,88;5,1;NA;0,637681159
Inga marginata;2;FURB;24/05/2017;NA;0,19;0,81;33,019;326,96;0,36;1,56;0,86;5,3;NA;0,551282051
Inga marginata;1;FURB;24/05/2017;NA;0,14;0,562;39,571;293,08;0,208;1,19;0,6;5,1;NA;0,504201681
Jacaranda puberula;5;UA 803;14/03/2017;NA;0,11;0,108;6,4024;125,64;0,05;1,92;0,71;5;NA;0,369791667
Jacaranda puberula;3;UA 803;14/03/2017;NA;0,12;0,11;5,372;155,26;0,042;1,33;0,49;5,3;NA;0,368421053
Jacaranda puberula;1;Ipiranga;08/08/2016;54,76;0,078;0,112;7,0776;67,66;0,042;3,11;1,14;5,1;7,042140266;0,366559486
Jacaranda puberula;2;UA 803;06/03/2017;NA;0,106;0,086;4,5274;279,28;0,054;2,44;0,88;4,6;NA;0,360655738
Jacaranda puberula;4;UA 803;14/03/2017;NA;0,068;0,04;3,5124;122,3;0,024;2,43;0,75;5,1;NA;0,308641975
Lonchocarpus campestris;2;Massaranduba;26/07/2016;54,96;0,116;0,188;12,021;248,24;0,08;5,13;2,79;4,7;7,123013569;0,543859649
Lonchocarpus campestris;1;Massaranduba;26/07/2016;51,84;0,138;0,28;19,7874;223,11;0,148;2,76;1,45;5,4;0,092951001;0,525362319
Lonchocarpus campestris;4;Rodeio;01/03/2017;NA;0,154;0,3;17,623;261,38;0,112;1,21;0,59;4,6;NA;0,487603306
Lonchocarpus campestris;3;Tirolesa;21/02/2017;NA;0,178;0,3;14,049;201,97;0,122;0,77;0,34;5,1;NA;0,441558442
Machaerium brasiliense;2;Ipiranga;08/08/2016;53,2;0,074;0,078;6,8252;161,26;0,034;NA;0,078;5,4;NA;#VALOR!
Machaerium brasiliense;3;Serra da Leoa;12/06/2016;40,38;0,064;0,048;5,348;228,18;0,032;3,65;2,28;5,5;3,902827078;0,624657534
Machaerium brasiliense;1;Ipiranga;08/08/2016;60,84;0,11;0,106;6,7912;219,52;0,05;1,7;1,06;5,1;3,208939988;0,623529412
Machaerium brasiliense;4;Tirolesa;21/02/2017;NA;0,178;0,28;17,8204;237,83;0,126;1,37;0,68;4,9;NA;0,496350365
Machaerium brasiliense;5;Tirolesa;21/02/2017;NA;0,162;0,314;18,391;259,02;0,132;1,29;0,52;5,1;NA;0,403100775
Magnolia ovata;1;Braço Paula Ramos;09/06/2016;50,52;0,264;4,454;138,2446;387,57;1,86;2,24;0,91;5,7;NA;0,40625
Magnolia ovata;5;Braço Paula Ramos;09/06/2016;59,06;0,236;5,463;226,193;341,5;1,968;1,35;0,5;5;NA;0,37037037
Magnolia ovata;2;FURB;18/05/2016;50,62;0,176;2,826;114,4168;246,85;0,986;2,09;0,66;5,2;NA;0,315789474
Magnolia ovata;4;Braço Paula Ramos;09/06/2016;63,94;0,228;9,652;408,467;330,21;3,36;2,66;0,83;5,9;NA;0,312030075
Magnolia ovata;3;Braço Paula Ramos;09/06/2016;52,2;0,21;4,616;226,005;316,4;2,062;1,41;0,4;4,9;NA;0,283687943
Matayba elaeagnoides;3;Curitiba;14/03/2017;NA;0,174;0,35;15,3502;313,49;0,176;1,02;0,65;4,9;NA;0,637254902
Matayba elaeagnoides;4;Curitiba;14/03/2017;NA;0,198;0,414;15,4086;341,15;0,148;1,04;0,62;5;NA;0,596153846
Matayba elaeagnoides;2;Curitiba;14/03/2017;NA;0,208;0,278;15,748;328,21;0,15;2,56;1,22;5,1;NA;0,4765625
Matayba elaeagnoides;5;Curitiba;14/03/2017;NA;0,158;0,294;12,787;375,61;0,12;3,32;1,56;4,6;NA;0,469879518
Matayba elaeagnoides;1;Curitiba;14/03/2017;NA;0,19;0,478;19,909;245,2;0,188;1,17;0,52;4,8;NA;0,444444444
Matayba intermedia;5;FURB;13/04/2016;66,7;0,214;0,6;26,9862;602,84;0,254;2,68;1,5;4,9;NA;0,559701493
Matayba intermedia;3;FURB;13/04/2016;61;0,262;0,544;23,0802;240,68;0,21;4,25;2,33;4,3;NA;0,548235294
Matayba intermedia;4;FURB;13/04/2016;62,86;0,29;1,148;44,5238;584,54;0,05;2,71;1,46;5,1;NA;0,538745387
Matayba intermedia;1;Braço Paula Ramos;09/06/2016;65,76;0,22;0,638;25,7814;373,78;0,242;0,88;0,45;5,5;NA;0,511363636
Matayba intermedia;2;FURB;13/04/2016;72,3;0,284;0,906;34,5646;372,64;0,412;2,3;1,16;5,1;NA;0,504347826
Meliosma sellowii;3;PMSF;21/09/2016;54,08;0,176;1,21;68,0806;312,15;0,332;NA;1,68;5;3,586298926;#VALOR!
Meliosma sellowii;2;PMSF;21/09/2016;61,82;0,138;0,964;63,0526;212,23;0,278;5,32;1,91;5,2;4,299711528;0,359022556
Meliosma sellowii;1;Massaranduba;26/07/2016;63,88;0,19;0,978;50,5994;281,07;0,306;4,45;1,58;5,1;3,723717144;0,35505618
Meliosma sellowii;4;PMSF;21/09/2016;63,2;0,16;1,482;19,68;310,77;0,46;4,47;1,57;5,5;3,769507638;0,351230425
Meliosma sellowii;5;PMSF;21/09/2016;52,78;0,126;0,876;62,1302;313,06;0,222;5,22;1,53;5,7;NA;0,293103448
Miconia cabucu;1;Braço Paula Ramos;09/06/2016;55,12;0,416;9,568;248,341;394,75;3,832;2,16;1,01;5,5;NA;0,467592593
Miconia cabucu;2;Braço Paula Ramos;09/06/2016;51,94;0,45;8,896;293,2842;321,38;3,49;3,04;1,24;5,2;NA;0,407894737
Miconia cabucu;5;Massaranduba;26/07/2016;57,98;0,254;14,796;572,6498;244,98;5,026;6,48;2,61;6;NA;0,402777778
Miconia cabucu;4;Massaranduba;26/07/2016;60,88;0,198;10,66;375,8952;136,12;3,892;5,3;2,02;5;6,077547445;0,381132075
Miconia cabucu;3;Braço Paula Ramos;09/06/2016;54,44;0,382;10,648;577,7818;358,81;7,398;7,25;1,23;5,6;NA;0,169655172
Miconia cinnamomifolia;3;Braço Paula Ramos;09/06/2016;61,6;0,272;0,684;21,9776;156,51;0,266;0,4;0,24;4,7;NA;0,6
Miconia cinnamomifolia;5;Faxinal do Bepe;06/09/2016;69,5;0,02;1,188;41,2962;241,28;0,458;6,46;3,79;5,9;NA;0,586687307
Miconia cinnamomifolia;1;Braço Paula Ramos;09/06/2016;65,16;0,18;0,726;31,1892;218,12;0,238;0,83;0,42;5,4;5,432099842;0,506024096
Miconia cinnamomifolia;4;Braço Paula Ramos;09/06/2016;52,46;0,208;0,494;22,1512;156,92;0,178;0,47;0,23;5,4;NA;0,489361702
Miconia cinnamomifolia;2;Braço Paula Ramos;09/06/2016;66,68;0,278;0,824;31,9982;199,45;0,302;1,48;0,63;5,7;NA;0,425675676
Myrceugenia ovalifolia;1;Faxinal do Bepe;08/09/2016;78,02;0,326;0,54;13,9358;503,32;0,252;NA;1,69;5,2;11,64774436;#VALOR!
Myrceugenia ovalifolia;3;Morro do Baú;12/12/2016;NA;0,34;0,72;25,4032;489,86;0,302;1,64;0,93;5;NA;0,567073171
Myrceugenia ovalifolia;5;Botuverá;17/02/2017;NA;0,352;0,452;NA;477,68;0,182;1,42;0,79;5,2;NA;0,556338028
Myrceugenia ovalifolia;2;Morro do Baú;12/12/2016;NA;0,32;0,68;24,0384;477,34;0,274;2,46;1,36;5,3;NA;0,552845528
Myrceugenia ovalifolia;4;Morro do Baú;12/12/2016;NA;0,268;0,592;25,4756;274,17;0,234;0,93;0,46;5,6;9,416294852;0,494623656
Myrceugenia seriatoramosa;1;Botuverá;17/02/2017;NA;0,108;0,04;NA;173,33;0,0175;1,58;1,28;5,2;NA;0,810126582
Myrceugenia seriatoramosa;4;Botuverá;17/02/2017;NA;0,15;0,026;NA;273,77;0,018;1,47;1,17;5,3;NA;0,795918367
Myrceugenia seriatoramosa;3;Botuverá;17/02/2017;NA;0,168;0,032;NA;209,46;0,016;1,39;1,08;5,1;NA;0,776978417
Myrceugenia seriatoramosa;2;Botuverá;17/02/2017;NA;0,174;0,116;NA;316,01;0,05;1,33;0,89;5,1;16,82244078;0,669172932
Myrcia brasiliensis;5;Praia Vermelha;09/02/2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALOR!
Myrcia brasiliensis;1;Spitz;16/04/2016;60,18;0,3;1,128;40,1272;365,18;0,436;0,47;0,29;4,5;NA;0,617021277
Myrcia brasiliensis;4;Praia Vermelha;09/02/2017;NA;0,234;0,978;40,0414;313,5;0,264;1,59;0,93;5;NA;0,58490566
Myrcia brasiliensis;2;Praia Vermelha;09/02/2017;NA;0,34;1,07;30,5988;314,46;0,36;2,62;1,3;5;NA;0,496183206
Myrcia brasiliensis;3;Praia Vermelha;09/02/2017;NA;0,25;0,742;27,897;253,82;0,216;0,79;0,39;5;8,460598836;0,493670886
Myrcia catharinensis;4;FURB;27/05/2017;NA;0,2;1,714;58,92;305,15;0,69;0,92;0,6;4,8;NA;0,652173913
Myrcia catharinensis;3;FURB;26/05/2017;NA;0,17;1,248;53,64;419,95;0,382;1,75;1,08;5,2;NA;0,617142857
Myrcia catharinensis;5;FURB;28/05/2017;NA;0,23;1,296;49,112;474,87;0,452;1,87;1,13;5,4;NA;0,604278075
Myrcia catharinensis;2;FURB;25/05/2017;NA;0,28;1,81;57,048;618,82;0,704;0,87;0,48;5,2;NA;0,551724138
Myrcia catharinensis;1;FURB;24/05/2017;NA;0,24;1,692;63,157;463,47;0,68;1,04;0,41;5,2;NA;0,394230769
Myrcia hebepetala;4;Praia Vermelha;09/02/2017;NA;0,248;0,852;41,759;396,35;0,256;1,76;1,14;4,5;NA;0,647727273
Myrcia hebepetala;2;Ipiranga;08/08/2016;56,8;0,156;0,332;13,1322;244,16;0,146;1,7;1,07;5,1;5,307178385;0,629411765
Myrcia hebepetala;3;Ipiranga;08/08/2016;53,32;0,124;0,85;39,057;NA;0,35;1,75;1,02;4,8;5,478887204;0,582857143
Myrcia hebepetala;5;Praia Vermelha;10/02/2017;NA;0,234;1,04;52,947;249,99;0,278;1,95;1,12;4,1;NA;0,574358974
Myrcia hebepetala;6;Botuverá;17/02/2017;NA;0,178;0,578;NA;286,81;0,228;1,21;0,67;5,2;NA;0,553719008
Myrcia hebepetala;1;Spitz;16/04/2016;58,2;0,158;0,336;13,2032;284,4;0,128;1,88;0,95;5,5;18,35281481;0,505319149
Myrcia splendens;3;FURB;14/04/2016;55,24;0,128;0,07;5,7614;144,71;0,016;0,92;0,58;5,3;NA;0,630434783
Myrcia splendens;1;PMSF;06/04/2016;46,7;0,11;0,04;4,029;157,38;0,022;2;1,23;5,8;NA;0,615
Myrcia splendens;5;FURB;25/04/2016;50,46;0,11;0,1;7,8946;105,41;0,042;1,1;0,62;4,9;NA;0,563636364
Myrsine coriacea;4;Ipiranga;08/08/2016;56,5;0,158;0,548;25,1412;192,46;0,196;2,86;1,73;5,4;26,67651024;0,604895105
Myrsine coriacea;1;Braço Paula Ramos;09/06/2016;54,84;0,198;0,394;16,132;200,59;0,15;0,94;0,5;5,2;10,89261015;0,531914894
Myrsine coriacea;3;Braço Paula Ramos;09/06/2016;56,9;0,176;0,234;9,546;229,58;0,086;2,14;1,13;4,9;NA;0,528037383
Myrsine coriacea;5;Ipiranga;08/08/2016;53,9;0,15;0,736;32,1024;191,69;0,218;2,14;1,1;4,9;NA;0,514018692
Myrsine coriacea;2;Braço Paula Ramos;09/06/2016;60,62;0,222;0,57;22,44;185,6;0,204;0,72;0,31;5,4;11,05245141;0,430555556
